
jroc182 | Category: Geography | Score: 2
jroc182 | Category: Geography | Score: 2
jroc182 | Category: Computer Science | Score: 1
josiah | Category: Technology | Score: 1
anthony | Category: Computer Science | Score: 2
anthony | Category: Geography | Score: 2
josiah | Category: Geography | Score: 0
jasper | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 1
josiah | Category: Geography | Score: 0
danish | Category: Geography | Score: 0
josiah | Category: Technology | Score: 0
danish | Category: Technology | Score: 0
josiah | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 1
josiah | Category: Computer Science | Score: 1
younis | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 1
jenn | Category: Geography | Score: 1
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 2
jenn | Category: Computer Science | Score: 2
jenn | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 1
jenn | Category: Computer Science | Score: 0
jenn | Category: Computer Science | Score: 1
jenn | Category: Geography | Score: 1
jenn | Category: Computer Science | Score: 2
frank | Category: Computer Science | Score: 0
jenn | Category: General | Score: 8
jenn | Category: Movies | Score: 8
jenn | Category: Movies | Score: 4
frank | Category: Movies | Score: 6
jenn | Category: History | Score: 2
frank | Category: History | Score: 1
jenn | Category: Movies | Score: 4
jenn | Category: Movies | Score: 4
frank | Category: Movies | Score: 4
jenn | Category: Sports | Score: 0
frank | Category: Sports | Score: 4
jenn | Category: Movies | Score: 4
frank | Category: Movies | Score: 4
